OH_Number,Session_Folder,Lesson_File,File_Index,Lesson_ID,Wistia_ID,Lesson_Title,Program,Chapter,Problem_Number
20,07-Office-Hours-20-August-13-2021,01-Lesson-27016747.md,1,Lesson-27016747,,OH20-2-HVAC-4,HVAC,HVAC,4
20,07-Office-Hours-20-August-13-2021,02-Lesson-27016745.md,2,Lesson-27016745,,OH20-3-HVAC-14,HVAC,HVAC,14
20,07-Office-Hours-20-August-13-2021,03-Lesson-27016748.md,3,Lesson-27016748,,OH20-4-Systems-3,HVAC,Systems and Components,3
20,07-Office-Hours-20-August-13-2021,04-Lesson-27016746.md,4,Lesson-27016746,,OH20-5-Systems-6,HVAC,Systems and Components,6
21,08-Office-Hours-21-September-10-2021,00-Lesson-27921749.md,0,Lesson-27921749,,OH21-1-FLUIDS-3,HVAC,Fluids,3
21,08-Office-Hours-21-September-10-2021,01-Lesson-27921755.md,1,Lesson-27921755,,OH21-2-FLUIDS-25,HVAC,Fluids,25
21,08-Office-Hours-21-September-10-2021,02-Lesson-27921742.md,2,Lesson-27921742,,OH21-3-PSYCHROMETRICS-7,HVAC,Psychrometrics,7
21,08-Office-Hours-21-September-10-2021,03-Lesson-27921757.md,3,Lesson-27921757,,OH21-4-HVAC-17,HVAC,HVAC,17
21,08-Office-Hours-21-September-10-2021,04-Lesson-27921747.md,4,Lesson-27921747,,OH21-5-SYSTEMS-19,HVAC,Systems and Components,19
21,08-Office-Hours-21-September-10-2021,05-Lesson-27921744.md,5,Lesson-27921744,,OH21-6-SYSTEMS-23,HVAC,Systems and Components,23
23,10-Office-Hours-23-October-08-2021,00-Lesson-28751569.md,0,Lesson-28751569,,Thermo 21,HVAC,Thermodynamics,21
23,10-Office-Hours-23-October-08-2021,01-Lesson-28751571.md,1,Lesson-28751571,,Fluids 14,HVAC,Fluids,14
115,100-Office-Hours-115-March-2nd-2026,00-Lesson-73255811.md,0,Lesson-73255811,,TFS: Heat Transfer #14,TFS,Heat Transfer,14
115,100-Office-Hours-115-March-2nd-2026,01-Lesson-73255808.md,1,Lesson-73255808,,TFS: Fluids #46,TFS,Fluids,46
115,100-Office-Hours-115-March-2nd-2026,02-Lesson-73255810.md,2,Lesson-73255810,,TFS: Fluids #48,TFS,Fluids,48
115,100-Office-Hours-115-March-2nd-2026,03-Lesson-73255815.md,3,Lesson-73255815,,HVAC: Thermo #4,HVAC,Thermodynamics,4
115,100-Office-Hours-115-March-2nd-2026,04-Lesson-73255801.md,4,Lesson-73255801,,HVAC: Thermo #6,HVAC,Thermodynamics,6
115,100-Office-Hours-115-March-2nd-2026,05-Lesson-73255803.md,5,Lesson-73255803,,HVAC: Thermo #8,HVAC,Thermodynamics,8
115,100-Office-Hours-115-March-2nd-2026,06-Lesson-73255804.md,6,Lesson-73255804,,HVAC: Thermo #9,HVAC,Thermodynamics,9
115,100-Office-Hours-115-March-2nd-2026,07-Lesson-73255805.md,7,Lesson-73255805,,HVAC: Thermo #12,HVAC,Thermodynamics,12
115,100-Office-Hours-115-March-2nd-2026,08-Lesson-73255806.md,8,Lesson-73255806,,HVAC: Thermo #13,HVAC,Thermodynamics,13
115,100-Office-Hours-115-March-2nd-2026,09-Lesson-73255807.md,9,Lesson-73255807,,HVAC: Thermo #19,HVAC,Thermodynamics,19
115,100-Office-Hours-115-March-2nd-2026,10-Lesson-73255812.md,10,Lesson-73255812,,HVAC: Supporting Topics #6,HVAC,Supporting Topics,6
24,11-Office-Hours-24-October-22-2021,00-Lesson-29334746.md,0,Lesson-29334746,,HVAC-18/21,HVAC,HVAC,18
25,12-Office-Hours-25-November-19-2021,02-Lesson-30310983.md,2,Lesson-30310983,,HVAC Psychrometrics 9,HVAC,HVAC,9
25,12-Office-Hours-25-November-19-2021,03-Lesson-30310966.md,3,Lesson-30310966,,HVAC Fluids 25,HVAC,Fluids,25
25,12-Office-Hours-25-November-19-2021,05-Lesson-30311826.md,5,Lesson-30311826,,TFS Fluids 6,TFS,Fluids,6
25,12-Office-Hours-25-November-19-2021,06-Lesson-30311827.md,6,Lesson-30311827,,TFS Fluids 10,TFS,Fluids,10
25,12-Office-Hours-25-November-19-2021,07-Lesson-30311834.md,7,Lesson-30311834,,TFS Fluids 13,TFS,Fluids,13
26,13-Office-Hours-26-December-3-2021,01-Lesson-30396393.md,1,Lesson-30396393,,Fluids 46,HVAC,Fluids,46
26,13-Office-Hours-26-December-3-2021,02-Lesson-30396392.md,2,Lesson-30396392,,Fluids 50,HVAC,Fluids,50
27,14-Office-Hours-27-December-15-2021,02-Lesson-30613165.md,2,Lesson-30613165,,Energy and Power Systems 6,HVAC,Systems and Components,6
28,15-Office-Hours-28-January-7-2022,00-Lesson-31187367.md,0,Lesson-31187367,,Systems-25,HVAC,Systems and Components,25
29,16-Office-Hours-29-January-20-2022,02-Lesson-31593693.md,2,Lesson-31593693,,HVAC_PSYCHROMETRICS-5,HVAC,HVAC,5
29,16-Office-Hours-29-January-20-2022,03-Lesson-31593218.md,3,Lesson-31593218,,HVAC_MISC-1,HVAC,HVAC,1
29,16-Office-Hours-29-January-20-2022,04-Lesson-31593236.md,4,Lesson-31593236,,HVAC_MISC-2,HVAC,HVAC,2
29,16-Office-Hours-29-January-20-2022,05-Lesson-31593695.md,5,Lesson-31593695,,HVAC_MISC-3,HVAC,HVAC,3
30,17-Office-Hours-30-February-4-2022,00-Lesson-32071398.md,0,Lesson-32071398,,HVAC_SYSTEMS-9,HVAC,HVAC,9
